+-------------+--------------+-------------------------------------------------------------------------------+----------------+
| Last Name   | First Name   | Title                                                                         | Release Date   |
|-------------+--------------+-------------------------------------------------------------------------------+----------------|
| Wright      | Mia          | William Carter's Majestic Golden Valley Meadows                               | 1979-09-08     |
| Smith       | Abigail      | Dreams of Henry Crawford                                                      | 1969-10-05     |
| Taylor      | Victoria     | Benjamin Mitchell's Scenic Tranquil Inviting Brookside Haven                  | 1963-08-18     |
| Walker      | Scarlett     | Ethan Wells's Whimsical Rural Stonebridge Ridge                               | 1987-12-21     |
| Rivera      | Abigail      | Voyage to Willowbrook Park                                                    | 1905-02-06     |
| Reyes       | Sophia       | Dragon's Charming Solitary Welcoming Pinecrest Pines                          | 1953-06-22     |
| Ross        | Ethan        | Samuel Griffin's Vibrant Coastal Birchwood Springs                            | 1919-04-15     |
| Green       | Sophia       | Realm of Samuel Griffin                                                       | 1953-10-23     |
| Harris      | Abigail      | Charlotte Taylor's Historical Scenic Woodland Park                            | 1929-08-24     |
| Mendoza     | Lily         | Dark Secrets Harper Nelson                                                    | 2001-07-24     |
| Cooper      | Ella         | Sophia Parker's Rustic Majestic Crestview Heights                             | 1936-06-14     |
| Smith       | Elijah       | Charlotte Taylor's Majestic Enchanting Rustic Pineview Cove                   | 1943-06-10     |
| Wilson      | Alexander    | Henry Crawford's Remote Whimsical Idyllic Crestview Heights                   | 2019-09-20     |
| Gutierrez   | Lily         | Chronicles Serene Birchwood Springs                                           | 1929-10-21     |
| Cooper      | Elizabeth    | Legacy of Isabella Montgomery                                                 | 1973-08-02     |
| Hill        | Lily         | Beyond the Isabella Montgomery                                                | 1976-08-13     |
| Lopez       | Ethan        | Realm of Charming Vintage Magical Whispering Pines                            | 1901-06-09     |
| Allen       | Caleb        | Chronicles Ava Harrison                                                       | 1936-02-20     |
| Smith       | Grace        | Legacy of Harper Nelson                                                       | 1903-09-24     |
| Hughes      | Scarlett     | Henry Crawford's Wonderful Colorful Riverstone Ranch                          | 1929-04-01     |
