+-------------+--------------+-----------------------------------------------------------------------------+----------------+
| Last Name   | First Name   | Title                                                                       | Release Date   |
|-------------+--------------+-----------------------------------------------------------------------------+----------------|
| Wright      | Benjamin     | Voyage to Willowbrook Grove                                                 | 2003-09-14     |
| Wright      | Ava          | Chronicles of the Sophia Parker                                             | 1948-05-18     |
| Adams       | Abigail      | Magic Exotic Charming Sprawling Woodland Park                               | 1991-01-16     |
| Adams       | Abigail      | Mystery Willowridge Crossing                                                | 1932-03-05     |
| Adams       | Abigail      | Secrets of Lush Inviting Welcoming Cedarwood Heights                        | 2002-08-04     |
| Wood        | Mia          | Realm of Olivia Bennett                                                     | 1979-11-16     |
| Adams       | Alexander    | Adventures in Sunflower Valley                                              | 1926-12-14     |
| Brooks      | Olivia       | Curse of Olivia Bennett                                                     | 1904-02-20     |
| Adams       | Alexander    | Ancient Lily Anderson                                                       | 1911-09-17     |
| Adams       | Amelia       | Lucas Thornton's Rivertown Crossing                                         | 1972-02-13     |
| Adams       | Andrew       | Secrets of Samuel Griffin                                                   | 1917-04-02     |
| Adams       | Andrew       | Secrets of Samuel Griffin                                                   | 1930-01-09     |
| Adams       | Andrew       | Secrets of Samuel Griffin                                                   | 1963-01-09     |
| Adams       | Andrew       | Secrets of Samuel Griffin                                                   | 2018-01-16     |
| Adams       | Ava          | Destiny's Brookside Haven                                                   | 2003-09-06     |
| Adams       | Ava          | Quest for the Inviting Willowridge Crossing                                 | 1969-04-23     |
| Adams       | Ava          | William Carter's Wonderful Contemporary Eclectic Pinehurst Park             | 1931-08-12     |
| Adams       | Benjamin     | Beyond the William Carter                                                   | 1978-02-06     |
| Adams       | Benjamin     | Mystery Daniel Brooks                                                       | 1956-11-20     |
| Adams       | Benjamin     | Mystery Daniel Brooks                                                       | 2015-03-23     |
| Ramirez     | Michael      | Echoes Picturesque Pinecrest Pines                                          | 2003-09-05     |
| Adams       | Benjamin     | Realm of Brookside Haven                                                    | 1971-09-16     |
| Adams       | Benjamin     | Realm of Brookside Haven                                                    | 1988-01-17     |
| Adams       | Benjamin     | Starlight Lakeshore Landing                                                 | 1973-08-17     |
