+-------------+--------------+---------------------------------------------------------------------------+----------------+
| Last Name   | First Name   | Title                                                                     | Release Date   |
|-------------+--------------+---------------------------------------------------------------------------+----------------|
| Adams       | Abigail      | Adventures in Willowridge Crossing                                        | 1929-01-08     |
| Adams       | Abigail      | Adventures in Willowridge Crossing                                        | 1953-11-19     |
| Adams       | Abigail      | Guardians of Samuel Griffin                                               | 1906-06-18     |
| Adams       | Abigail      | Samuel Griffin's Vintage Willowdale Heights                               | 1950-05-07     |
| Adams       | Aiden        | Lucas Thornton's Captivating Remote Remote Fairhaven Fields               | 2019-10-03     |
| Adams       | Andrew       | Dreams of Emily Hayes                                                     | 1917-01-07     |
| Adams       | Andrew       | Dreams of Emily Hayes                                                     | 1987-11-17     |
| Adams       | Ava          | Legacy of Serene Inviting Willowbrook Grove                               | 1905-07-12     |
| Adams       | Ava          | Legacy of Serene Inviting Willowbrook Grove                               | 1984-10-22     |
| Adams       | Benjamin     | City of Grace Mitchell                                                    | 1933-04-21     |
| Adams       | Benjamin     | City of Grace Mitchell                                                    | 1989-09-02     |
| Adams       | Benjamin     | City of Grace Mitchell                                                    | 2019-10-24     |
| Adams       | Benjamin     | Dragon's Vintage Wonderful Pictorial Willowbrook Park                     | 1963-12-15     |
| Adams       | Charlotte    | Chronicles Lily Anderson                                                  | 1929-07-23     |
| Adams       | Charlotte    | In the Shadow of Inviting Modern Pinehurst Park                           | 1932-12-15     |
| Adams       | Ella         | Dragon's Rustic Wonderful Willowdale Heights                              | 2002-05-15     |
| Adams       | Emma         | Caleb Reynolds's Lakeshore Landing                                        | 1925-03-19     |
| Adams       | Emma         | Dark Secrets Tranquil Solitary Fairhaven Fields                           | 1940-05-12     |
| Adams       | Emma         | Elijah Turner's Enchanting Whimsical Brookside Haven                      | 1951-10-09     |
| Adams       | Harper       | Benjamin Mitchell's Willowbrook Park                                      | 1950-01-20     |
| Adams       | Harper       | Legacy from Samuel Griffin                                                | 1937-11-08     |
| Adams       | Harper       | Legacy from Samuel Griffin                                                | 1967-07-03     |
| Adams       | Harper       | Legacy from Samuel Griffin                                                | 1999-01-15     |
| Adams       | Harper       | Legacy from Samuel Griffin                                                | 2001-01-09     |
| Adams       | Harper       | Quest for Grace Mitchell                                                  | 1983-11-03     |
| Adams       | Harper       | Quest for Grace Mitchell                                                  | 1999-11-10     |
| Adams       | Henry        | Kingdom Olivia Bennett                                                    | 1913-12-16     |
| Adams       | Isabella     | Ethan Wells's Urban Coastal Isolated Meadowview Heights                   | 1980-06-06     |
| Adams       | Jackson      | Magic Sophia Parker                                                       | 1905-07-07     |
| Adams       | Jackson      | Samuel Griffin's Remote Springvale Meadows                                | 1965-05-02     |
| Adams       | James        | Guardians of Fairhaven Fields                                             | 1934-08-04     |
| Adams       | James        | Guardians of Fairhaven Fields                                             | 1942-11-17     |
| Adams       | James        | Guardians of Fairhaven Fields                                             | 1976-09-03     |
| Adams       | Liam         | Chronicles of the Hidden Quaint Welcoming Springvale Meadows              | 1972-07-19     |
| Adams       | Liam         | Rise of Rustic Charming Harborview Point                                  | 2007-03-24     |
| Adams       | Lily         | Caleb Reynolds's Greenbriar Estates                                       | 1938-09-22     |
| Adams       | Lily         | Ethan Wells's Eclectic Birchwood Springs                                  | 1931-04-04     |
| Adams       | Lily         | Ethan Wells's Eclectic Birchwood Springs                                  | 1990-11-20     |
| Adams       | Lily         | Magic Lucas Thornton                                                      | 1961-10-18     |
| Adams       | Lily         | Whispers from Ashwood Terrace                                             | 1913-08-06     |
| Adams       | Lily         | Whispers from Ashwood Terrace                                             | 1974-10-14     |
| Adams       | Mason        | Underneath Vintage Colorful Vintage Brookside Meadows                     | 1917-11-24     |
| Adams       | Mia          | Bloodlines Ancient Contemporary Tranquil Lakeshore Landing                | 1941-12-21     |
| Adams       | Michael      | Legacy from Crestview Heights                                             | 1949-01-03     |
| Adams       | Michael      | Legacy from Crestview Heights                                             | 2007-03-16     |
