+-------------+--------------+------------------------------------------------------------------------+----------------+
| Last Name   | First Name   | Title                                                                  | Release Date   |
|-------------+--------------+------------------------------------------------------------------------+----------------|
| Adams       | Abigail      | Whispers from Isabella Montgomery                                      | 2005-07-08     |
| Adams       | Benjamin     | Tales from Sophia Parker                                               | 1959-07-01     |
| Adams       | Benjamin     | Tales from Sophia Parker                                               | 1973-04-03     |
| Adams       | Ella         | Ancient Enchanting Brookside Meadows                                   | 1906-08-05     |
| Adams       | Ella         | Ancient Enchanting Brookside Meadows                                   | 1971-07-16     |
| Adams       | Ella         | Ancient Enchanting Brookside Meadows                                   | 1977-03-17     |
| Nguyen      | Abigail      | Alexander Foster's Hidden Sunflower Valley                             | 2001-07-24     |
| Adams       | Grace        | Legacy of Crestview Heights                                            | 1950-11-10     |
| Adams       | Grace        | Legacy of Crestview Heights                                            | 2021-06-15     |
| Adams       | Lily         | Samuel Griffin's Cosmopolitan Artistic Riverstone Ranch                | 1930-02-06     |
| Adams       | Sophia       | Legacy from Mia Sullivan                                               | 1958-01-04     |
| Allen       | Abigail      | William Carter's Secluded Riverstone Ranch                             | 1941-01-24     |
| Jones       | Olivia       | Bloodlines Harper Nelson                                               | 1918-06-02     |
| Allen       | Abigail      | William Carter's Secluded Riverstone Ranch                             | 1995-11-03     |
| Murphy      | Ethan        | Henry Crawford's Captivating Captivating Vibrant Redwood Ridge         | 2000-09-24     |
| Allen       | Isabella     | Gates of Lily Anderson                                                 | 2020-11-12     |
| Allen       | James        | Elijah Turner's Enchanting Golden Valley Meadows                       | 2015-02-07     |
| Allen       | James        | Gates of Contemporary Idyllic Fairhaven Fields                         | 1948-08-14     |
| Allen       | Samuel       | Ethan Wells's Coastal Pineview Cove                                    | 1939-07-16     |
| Allen       | Samuel       | Ethan Wells's Coastal Pineview Cove                                    | 1959-04-20     |
| Allen       | Samuel       | Ethan Wells's Coastal Pineview Cove                                    | 1988-04-11     |
| Allen       | Scarlett     | Realm of Modern Pinehurst Park                                         | 1989-09-16     |
| Allen       | Scarlett     | Realm of Modern Pinehurst Park                                         | 2002-10-13     |
| Allen       | Scarlett     | Realm of Modern Pinehurst Park                                         | 2012-08-06     |
| Allen       | Scarlett     | Realm of Modern Pinehurst Park                                         | 2014-04-09     |
| Allen       | Sophia       | Whispers from Lucas Thornton                                           | 1969-10-07     |
| Allen       | Sophia       | Whispers from Lucas Thornton                                           | 1994-03-10     |
| Allen       | William      | William Carter's Ancient Wonderful Enigmatic Willowridge Crossing      | 2000-10-14     |
| Alvarez     | Alexander    | Destiny's Exotic Serene Welcoming Birchwood Springs                    | 1965-09-09     |
| Alvarez     | Charlotte    | Realm of Rustic Artistic Birchwood Springs                             | 1908-04-10     |
| Alvarez     | Charlotte    | Realm of Rustic Artistic Birchwood Springs                             | 1998-06-23     |
| Thomas      | Lily         | Journey to Contemporary Enigmatic Lakeside Terrace                     | 1904-02-15     |
| Alvarez     | Emily        | Voyage to Pineview Cove                                                | 1905-04-22     |
| Foster      | William      | In the Shadow of Elijah Turner                                         | 1923-09-14     |
| Alvarez     | Emma         | Bloodlines Picturesque Cosmopolitan Willowbrook Grove                  | 1911-08-13     |
| Alvarez     | Emma         | Bloodlines Picturesque Cosmopolitan Willowbrook Grove                  | 1960-04-03     |
| Alvarez     | Emma         | Bloodlines Picturesque Cosmopolitan Willowbrook Grove                  | 2003-10-07     |
| Alvarez     | Ethan        | Dreams in the Olivia Bennett                                           | 1976-12-07     |
| Alvarez     | Scarlett     | Voyage to Majestic Tranquil Cedarwood Heights                          | 2020-12-03     |
| Anderson    | Aiden        | Chronicles of the Artistic Wonderful Evergreen Valley                  | 1924-11-17     |
| Anderson    | Alexander    | Alexander Foster's Sprawling Modern Meadowbrook Springs                | 2006-11-21     |
| Anderson    | Alexander    | Quest for the Charming Silverlake Springs                              | 1990-12-12     |
| Anderson    | Amelia       | Forgotten Pristine Tranquil Peaceful Maplewood Meadows                 | 1974-10-01     |
| Anderson    | Daniel       | Isabella Montgomery's Brookside Meadows                                | 1954-01-10     |
| Anderson    | Daniel       | Isabella Montgomery's Brookside Meadows                                | 1962-01-14     |
| Anderson    | Daniel       | Isabella Montgomery's Brookside Meadows                                | 1991-12-21     |
| Anderson    | Emma         | Realm of Contemporary Eclectic Greenbriar Estates                      | 1916-08-13     |
| Anderson    | Isabella     | Chronicles of the Samuel Griffin                                       | 1951-05-10     |
| Anderson    | Isabella     | Chronicles of the Samuel Griffin                                       | 1953-12-12     |
| Anderson    | Isabella     | Chronicles of the Samuel Griffin                                       | 1956-07-14     |
| Anderson    | Jackson      | Beyond the Historical Serene Charming Lakeside Terrace                 | 1932-05-03     |
| Anderson    | Jackson      | Chronicles from Emily Hayes                                            | 1995-09-09     |
| Anderson    | James        | Chronicles of Laurelwood Glen                                          | 1989-12-13     |
| Anderson    | James        | Quest for Grace Mitchell                                               | 1961-09-18     |
| Anderson    | Lucas        | Chronicles from Cedarwood Heights                                      | 1986-09-14     |
| Anderson    | Samuel       | King's Picturesque Majestic Maplewood Meadows                          | 1915-02-14     |
| Anderson    | Samuel       | King's Picturesque Majestic Maplewood Meadows                          | 1997-08-11     |
| Murphy      | Mason        | Enchanted Inviting Redwood Ridge                                       | 1906-10-17     |
| Smith       | Samuel       | Samuel Griffin's Exotic Willowbrook Park                               | 1926-09-15     |
| Martin      | Ella         | Grace Mitchell's Millstone Meadows                                     | 1974-01-15     |
| Bailey      | Sophia       | Emily Hayes's Coastal Magical Serene Woodland Park                     | 1981-05-06     |
| Bailey      | William      | Ethan Wells's Eclectic Willowdale Heights                              | 1907-07-09     |
| Bailey      | William      | Ethan Wells's Eclectic Willowdale Heights                              | 1962-09-23     |
| Bailey      | William      | Lily Anderson's Whimsical Scenic Willowridge Crossing                  | 1957-10-13     |
| Baker       | Alexander    | Olivia Bennett's Pristine Remote Surreal Harborview Point              | 1942-05-11     |
| Baker       | David        | Sophia Parker's Charming Pinehurst Park                                | 2013-02-01     |
| Baker       | Elijah       | Charlotte Taylor's Welcoming Peaceful Urban Laurelwood Glen            | 1985-12-19     |
| Baker       | Elijah       | Chronicles Brookside Haven                                             | 1906-04-08     |
| Baker       | Elijah       | Chronicles Brookside Haven                                             | 1910-03-05     |
| Baker       | Elijah       | Chronicles Brookside Haven                                             | 1922-05-01     |
| Baker       | Elijah       | Chronicles Brookside Haven                                             | 2004-09-13     |
| Baker       | Ethan        | Ava Harrison's Remote Coastal Pristine Riverstone Ranch                | 1997-08-20     |
| Baker       | Grace        | King's Urban Secluded Pictorial Birchwood Springs                      | 1910-08-07     |
| Young       | James        | Voyage to Sophia Parker                                                | 2018-03-16     |
| Baker       | Mia          | Echoes of Olivia Bennett                                               | 1936-02-14     |
| Reed        | Liam         | Isabella Montgomery's Lush Crestwood Hills                             | 1944-08-21     |
| Young       | Sophia       | Olivia Bennett's Laurelwood Glen                                       | 1921-09-16     |
| Bennet      | Elijah       | Destiny's Benjamin Mitchell                                            | 1989-12-16     |
| Bennet      | Ethan        | Quest for the Solitary Modern Birchwood Springs                        | 1934-02-22     |
| Bennet      | Harper       | Olivia Bennett's Brookside Haven                                       | 1968-02-19     |
| Bennet      | Harper       | Olivia Bennett's Brookside Haven                                       | 2005-10-15     |
| Bennet      | Harper       | Olivia Bennett's Brookside Haven                                       | 2011-01-07     |
| Bennet      | Henry        | Dragon's Emily Hayes                                                   | 1904-05-21     |
| Lopez       | Elijah       | In the Shadow of Whimsical Exotic Woodland Park                        | 1919-02-22     |
| King        | Andrew       | Dreams in the Mia Sullivan                                             | 1959-09-10     |
| Bennet      | Mia          | Grace Mitchell's Millstone Meadows                                     | 1987-12-08     |
| Bennet      | Natalie      | Enigma Charming Rivertown Crossing                                     | 1911-04-18     |
| Bennet      | Olivia       | Lost in Time Emily Hayes                                               | 1931-02-22     |
| Bennet      | Olivia       | Lost in Time Emily Hayes                                               | 1968-03-15     |
| Bennet      | Sophia       | Songs from Sophia Parker                                               | 1969-01-10     |
| Bennet      | Sophia       | Songs from Sophia Parker                                               | 1991-08-02     |
