+-------------+--------------+-----------------------------------------------------------------------+----------------+
| Last Name   | First Name   | Title                                                                 | Release Date   |
|-------------+--------------+-----------------------------------------------------------------------+----------------|
| Adams       | Alexander    | Dark Secrets Remote Remote Historical Fairhaven Fields                | 1969-06-01     |
| Adams       | Daniel       | Chronicles Caleb Reynolds                                             | 1983-10-23     |
| Adams       | Elijah       | Isabella Montgomery's Coastal Charming Brookside Haven                | 1921-02-17     |
| Adams       | Elijah       | Isabella Montgomery's Coastal Charming Brookside Haven                | 1923-01-11     |
| Adams       | Elijah       | Isabella Montgomery's Coastal Charming Brookside Haven                | 1958-04-06     |
| Adams       | Ethan        | Quest for the Caleb Reynolds                                          | 1960-03-04     |
| Adams       | Grace        | Magic Surreal Exotic Vibrant Brookside Haven                          | 1916-12-14     |
| Adams       | Mia          | Tales from Ancient Cosmopolitan Picturesque Greenbriar Estates        | 1930-08-04     |
| Adams       | Mia          | Tales from Ancient Cosmopolitan Picturesque Greenbriar Estates        | 1973-04-12     |
| Adams       | Scarlett     | Henry Crawford's Idyllic Cosmopolitan Peaceful Woodland Park          | 1956-05-09     |
| Allen       | Abigail      | Ethan Wells's Breathtaking Cosmopolitan Breathtaking Whispering Pines | 1912-07-06     |
| Allen       | Abigail      | Ethan Wells's Breathtaking Cosmopolitan Breathtaking Whispering Pines | 1922-03-07     |
| Allen       | Abigail      | Ethan Wells's Breathtaking Cosmopolitan Breathtaking Whispering Pines | 1970-06-17     |
| Allen       | Abigail      | Ethan Wells's Breathtaking Cosmopolitan Breathtaking Whispering Pines | 1981-01-22     |
| Allen       | Charlotte    | Guardians of Alexander Foster                                         | 1902-04-10     |
| Allen       | Charlotte    | Guardians of Alexander Foster                                         | 2013-11-13     |
| Allen       | Emma         | King's Sophia Parker                                                  | 1908-05-24     |
| Allen       | Grace        | Chronicles of Ethan Wells                                             | 1988-08-20     |
| Allen       | Grace        | Chronicles of Ethan Wells                                             | 1995-10-19     |
| Allen       | Jackson      | Ava Harrison's Brookside Haven                                        | 1912-07-15     |
| Allen       | Jackson      | Elijah Turner's Sunflower Valley                                      | 1922-05-21     |
| Allen       | Lily         | Elijah Turner's Peaceful Urban Pineview Cove                          | 1924-12-14     |
| Allen       | Lily         | Elijah Turner's Peaceful Urban Pineview Cove                          | 1970-12-16     |
| Allen       | Natalie      | City of Alexander Foster                                              | 1901-10-02     |
| Allen       | Natalie      | City of Alexander Foster                                              | 1953-10-03     |
| Allen       | Samuel       | Lily Anderson's Rustic Welcoming Quaint Silverlake Springs            | 1916-02-12     |
| Allen       | Sophia       | Chronicles of the Laurelwood Glen                                     | 1918-03-11     |
| Allen       | Sophia       | Chronicles of the Laurelwood Glen                                     | 1923-06-05     |
| Allen       | Sophia       | Chronicles of the Laurelwood Glen                                     | 1924-10-14     |
| Allen       | Sophia       | Isabella Montgomery's Urban Serene Exotic Willowdale Heights          | 1942-08-10     |
| Allen       | Sophia       | Isabella Montgomery's Urban Serene Exotic Willowdale Heights          | 1982-06-21     |
| Alvarez     | Daniel       | Realm of Pristine Sunflower Valley                                    | 1912-04-17     |
| Alvarez     | Harper       | Tales from Picturesque Tranquil Whimsical Ashwood Terrace             | 1957-09-18     |
| Alvarez     | James        | Secrets of Lily Anderson                                              | 1940-05-13     |
| Alvarez     | James        | Secrets of Lily Anderson                                              | 2004-08-10     |
| Alvarez     | Samuel       | Emily Hayes's Whimsical Riverstone Ranch                              | 1947-07-19     |
| Alvarez     | Samuel       | Emily Hayes's Whimsical Riverstone Ranch                              | 1989-09-15     |
| Alvarez     | Samuel       | Grace Mitchell's Hidden Historical Cosmopolitan Redwood Ridge         | 1997-11-11     |
| Alvarez     | Samuel       | Grace Mitchell's Hidden Historical Cosmopolitan Redwood Ridge         | 2001-04-20     |
| Anderson    | David        | Tales from Coastal Quaint Secluded Crestwood Hills                    | 1986-01-16     |
