+-------------+--------------+-----------------------------------------------------------------------+----------------+
| Last Name   | First Name   | Title                                                                 | Release Date   |
|-------------+--------------+-----------------------------------------------------------------------+----------------|
| Young       | Zoe          | Destiny's Serene Harborview Point                                     | 1960-06-01     |
| Young       | Sophia       | Ethan Wells's Meadowview Heights                                      | 2021-11-19     |
| Young       | Noah         | Quest for the Whimsical Vintage Hidden Lakeside Terrace               | 1967-10-24     |
| Young       | Natalie      | Legacy of Mia Sullivan                                                | 1966-11-13     |
| Young       | Natalie      | Legacy of Mia Sullivan                                                | 1962-08-16     |
| Young       | Isabella     | Emily Hayes's Modern Charming Fairhaven Fields                        | 1914-08-08     |
| Young       | Grace        | Lucas Thornton's Sunflower Valley                                     | 1965-01-14     |
| Young       | Grace        | Lucas Thornton's Sunflower Valley                                     | 1956-05-20     |
| Young       | Grace        | Lucas Thornton's Sunflower Valley                                     | 1932-09-04     |
| Young       | Emma         | In the Shadow of Colorful Stonegate Terrace                           | 1977-08-04     |
| Young       | Ava          | Adventures in Elijah Turner                                           | 1942-05-11     |
| Young       | Ava          | Adventures in Elijah Turner                                           | 1933-02-08     |
| Wright      | Victoria     | Journey to Ava Harrison                                               | 2004-01-08     |
| Wright      | Victoria     | Journey to Ava Harrison                                               | 1986-10-03     |
| Wright      | Victoria     | Journey to Ava Harrison                                               | 1958-05-24     |
| Wright      | Olivia       | Samuel Griffin's Colorful Birchwood Springs                           | 1928-10-06     |
| Wright      | Jackson      | Enchanted Isabella Montgomery                                         | 1997-07-14     |
| Wright      | Jackson      | Enchanted Isabella Montgomery                                         | 1987-02-12     |
| Wright      | Jackson      | Enchanted Isabella Montgomery                                         | 1979-01-01     |
| Wright      | Daniel       | Grace Mitchell's Remote Stonegate Terrace                             | 2000-10-20     |
| Wright      | Daniel       | Grace Mitchell's Remote Stonegate Terrace                             | 1954-12-06     |
| Wright      | Daniel       | Grace Mitchell's Remote Stonegate Terrace                             | 1943-11-07     |
| Wright      | Andrew       | Legacy from Olivia Bennett                                            | 1981-02-03     |
| Wright      | Amelia       | Legacy of Samuel Griffin                                              | 1981-01-16     |
| Wright      | Amelia       | Legacy of Samuel Griffin                                              | 1979-05-24     |
| Wright      | Amelia       | Henry Crawford's Coastal Sunflower Valley                             | 2008-12-07     |
| Wright      | Aiden        | Hidden Alexander Foster                                               | 1998-03-17     |
