+-------------+--------------+------------------------------------------------------------------+----------------+
| Last Name   | First Name   | Title                                                            | Release Date   |
|-------------+--------------+------------------------------------------------------------------+----------------|
| Adams       | Emma         | Ancient Vibrant Golden Valley Meadows                            | 1979-05-20     |
| Baker       | James        | Journey through Isolated Enigmatic Captivating Crestview Heights | 1923-05-06     |
| Bennet      | Benjamin     | Quest for the Mia Sullivan                                       | 1924-11-10     |
| Nelson      | Grace        | Harper Nelson's Urban Laurelwood Glen                            | 1974-04-21     |
| Bennet      | Benjamin     | Quest for the Mia Sullivan                                       | 1965-05-09     |
| Carter      | Victoria     | Magic Emily Hayes                                                | 1965-06-13     |
| Carter      | Victoria     | Magic Emily Hayes                                                | 1985-03-09     |
| Clark       | Elizabeth    | Journey to Timeless Inviting Hidden Whispering Pines             | 1917-04-13     |
| Rivera      | Noah         | Enigma Urban Greenbriar Estates                                  | 2018-01-14     |
| Cook        | Caleb        | Gates of Cosmopolitan Ancient Rustic Sunflower Valley            | 1981-12-18     |
| Cook        | Caleb        | Gates of Cosmopolitan Ancient Rustic Sunflower Valley            | 1989-01-20     |
| Cox         | Henry        | King's Benjamin Mitchell                                         | 1950-11-21     |
| Cox         | Henry        | King's Benjamin Mitchell                                         | 1967-08-16     |
| Cox         | Henry        | King's Benjamin Mitchell                                         | 1980-09-01     |
| Cruz        | Liam         | City of Harper Nelson                                            | 1926-04-19     |
| Flores      | Harper       | Rise of Stonegate Terrace                                        | 1913-05-21     |
| Flores      | Harper       | Rise of Stonegate Terrace                                        | 1992-12-03     |
| Gomez       | David        | Adventures in Lily Anderson                                      | 1913-08-04     |
| Gomez       | Lily         | Starlight Tranquil Exotic Enchanting Birchwood Springs           | 2018-10-23     |
| Gonzales    | Elizabeth    | Legacy of Historical Serene Birchwood Springs                    | 1950-04-16     |
| Gray        | Elijah       | Mia Sullivan's Exotic Colorful Exotic Greenbriar Estates         | 1959-02-15     |
| Harris      | Natalie      | Legacy from Rivertown Crossing                                   | 1951-08-04     |
| Hernandez   | Mia          | Echoes Lush Coastal Stonebridge Ridge                            | 2006-06-20     |
