+-------------+--------------+-----------------------------------------------------------------------+----------------+
| Last Name   | First Name   | Title                                                                 | Release Date   |
|-------------+--------------+-----------------------------------------------------------------------+----------------|
| Wood        | Grace        | City of Benjamin Mitchell                                             | 1919-04-17     |
| James       | Grace        | Lily Anderson's Cosmopolitan Laurelwood Glen                          | 1912-11-20     |
| Perez       | Benjamin     | Legacy of Henry Crawford                                              | 1979-03-16     |
| Davis       | Jackson      | Caleb Reynolds's Autumnwood Grove                                     | 1956-05-01     |
| Clark       | Elijah       | Dreams in the Enchanting Bustling Exotic Redwood Ridge                | 1996-04-04     |
| Alvarez     | Natalie      | Benjamin Mitchell's Pictorial Brookside Meadows                       | 2016-02-24     |
| Phillips    | Liam         | Songs from Charlotte Taylor                                           | 2005-11-02     |
| Walker      | Benjamin     | Mystery Peaceful Vibrant Silverlake Springs                           | 1962-07-05     |
| Ortiz       | Andrew       | Olivia Bennett's Majestic Eclectic Rural Willowridge Crossing         | 1947-08-14     |
| Myers       | Benjamin     | Hidden Charlotte Taylor                                               | 1912-03-04     |
| Sanders     | Emma         | Emily Hayes's Rustic Brookside Haven                                  | 1934-11-22     |
| Young       | Michael      | Ethan Wells's Woodland Park                                           | 1989-05-03     |
| Watson      | Olivia       | Curse of Serene Picturesque Inviting Autumnwood Grove                 | 1945-05-16     |
| Patel       | William      | Beyond the Isabella Montgomery                                        | 1955-11-05     |
| Rogers      | Abigail      | Enigma Ethan Wells                                                    | 1910-10-17     |
| Rodriguez   | Olivia       | Enchanted Samuel Griffin                                              | 2010-11-12     |
| Jones       | Sophia       | Ethan Wells's Wonderful Surreal Isolated Golden Valley Meadows        | 1983-12-14     |
| Price       | Amelia       | Harper Nelson's Fairhaven Fields                                      | 2003-08-17     |
| Walker      | Emma         | Daniel Brooks's Eclectic Exotic Bustling Harborview Point             | 1960-03-14     |
| Hall        | Lucas        | Emily Hayes's Picturesque Remote Lush Lakeside Terrace                | 1927-12-11     |
| Flores      | Grace        | Echoes Daniel Brooks                                                  | 1946-09-03     |
| Phillips    | Liam         | Destiny's Evergreen Valley                                            | 1928-06-24     |
| Adams       | Victoria     | Lucas Thornton's Rural Brookside Meadows                              | 2021-02-04     |
| Cooper      | Liam         | Realm of Pinecrest Pines                                              | 1950-03-05     |
| Patel       | William      | Beyond the Isabella Montgomery                                        | 1920-03-18     |
| Richardson  | Elijah       | Secrets in the Caleb Reynolds                                         | 1931-12-11     |
| Reed        | Ava          | Secrets in the Ava Harrison                                           | 1954-12-07     |
| Gutierrez   | William      | Echoes Rural Enchanting Welcoming Willowbrook Grove                   | 1998-03-07     |
| Stewart     | Ella         | Grace Mitchell's Isolated Serene Springvale Meadows                   | 1917-07-08     |
| Green       | Emma         | Dark Secrets Lily Anderson                                            | 1986-04-18     |
| Adams       | Victoria     | Elijah Turner's Welcoming Willowbrook Grove                           | 2013-02-06     |
| James       | Jackson      | Olivia Bennett's Pictorial Captivating Charming Oakridge Bluffs       | 2013-05-12     |
| Turner      | James        | Dreams in the Enigmatic Tranquil Eclectic Willowbrook Grove           | 1924-09-06     |
| Perez       | Emily        | Destiny's Ava Harrison                                                | 1997-12-18     |
| Brooks      | Lily         | Whispers from Millstone Meadows                                       | 2014-10-02     |
| Turner      | Abigail      | Emily Hayes's Cedarwood Heights                                       | 1947-03-01     |
| Wood        | Victoria     | Hidden Benjamin Mitchell                                              | 1962-06-18     |
| Taylor      | Sophia       | Echoes Eclectic Willowdale Heights                                    | 1978-07-10     |
| Lewis       | Abigail      | Lucas Thornton's Inviting Ancient Crestview Heights                   | 1923-06-14     |
| Price       | Sophia       | Grace Mitchell's Solitary Eclectic Brookside Haven                    | 1943-04-20     |
| Brooks      | Lily         | Underneath Historical Rivertown Crossing                              | 1935-01-16     |
| Long        | Olivia       | Caleb Reynolds's Secluded Pineview Cove                               | 1994-11-02     |
| Wood        | Grace        | City of Benjamin Mitchell                                             | 1964-09-23     |
| Thompson    | Mason        | Dreams of Isabella Montgomery                                         | 1924-04-11     |
| Ramirez     | Elijah       | Olivia Bennett's Peaceful Crestwood Hills                             | 1971-11-12     |
| Bailey      | Scarlett     | Beyond the Rustic Tranquil Whimsical Maplewood Meadows                | 1964-10-14     |
| Cooper      | Mason        | Chronicles from Emily Hayes                                           | 1920-11-01     |
| Walker      | Amelia       | Hidden Ava Harrison                                                   | 1990-04-18     |
| Gomez       | Sophia       | City of Emily Hayes                                                   | 1924-09-07     |
